date,portfolio_value,benchmark_value,marked_open_risk_percent,capital_invested_percent
2016-07-18,119922.23,817877.55,0.9923,27.29
2016-07-19,119962.25,819251.25,1.4903,52.5
2016-07-20,120549.21,822966.94,1.4831,52.73
2016-07-21,120191.2,817283.35,1.4875,52.59
2016-07-22,120713.21,818925.65,1.4811,52.8
2016-07-25,120863.62,815215.83,1.4792,52.86
2016-07-26,121103.67,814777.09,1.4763,52.95
2016-07-27,121175.96,842323.27,1.4754,52.98
2016-07-28,121333.44,849785.06,1.4735,53.04
2016-07-29,121624.87,856762.47,1.47,53.15
2016-08-01,121694.84,866132.68,1.4691,53.18
2016-08-02,121176.11,856592.86,1.4754,52.98
2016-08-03,121269.41,862830.65,0.9833,35.09
2016-08-04,121571.64,865707.02,0.9809,35.26
2016-08-05,122069.32,878062.48,0.9769,35.52
2016-08-08,122040.14,882951.4,1.4752,63.28
2016-08-09,122163.71,885881.51,1.4737,63.32
2016-08-10,121921.32,881288.52,1.4766,63.25
2016-08-11,122456.61,884370.73,1.4701,63.41
2016-08-12,123134.22,893757.7,1.4621,63.61
2016-08-15,123354.05,899499.37,1.4594,63.68
2016-08-16,122926.06,896632.76,1.4645,63.55
2016-08-17,122748.48,893243.68,1.4666,63.5
2016-08-18,123027.49,894611.94,1.4633,63.58
2016-08-19,123002.66,895578.3,1.4636,63.57
2016-08-22,123078.69,891991.08,1.4627,63.59
2016-08-23,123283.42,894596.13,1.4603,63.66
2016-08-24,122706.29,887339.77,1.4672,63.48
2016-08-25,122547.78,883686.9,1.469,63.44
2016-08-26,122632.58,882568.42,1.468,63.46
2016-08-29,122833.27,882707.17,1.4656,63.52
2016-08-30,122601.35,877142.34,1.4684,63.45
2016-08-31,122413.45,876274.94,1.4707,63.4
2016-09-01,122867.2,884126.83,1.4652,63.53
2016-09-02,122994.07,888406.92,1.4637,63.57
2016-09-06,123413.84,892452.78,1.4587,63.69
2016-09-07,123238.68,893032.49,1.4608,63.64
2016-09-08,123067.94,880165.41,1.4628,63.59
2016-09-09,120976.16,856459.01,0.9857,35.51
2016-09-12,120577.94,873393.44,0.0,0.0
2016-09-13,120577.94,879224.04,0.0,0.0
2016-09-14,120577.94,898080.79,0.0,0.0
2016-09-15,120577.94,924107.87,0.0,0.0
